fnid,residential_density,landusemix,open_ratio,intersections_destiny,center,airport,railway,dock,coach,trans_count,sport_count,public_count,company_count,hospital_count,govern_count,life_count,edu_count,shopping_count,finance_count,attractions_count,food_service_count,cityBranch,cycleway,freeway,innerRoad,mainRoad,notBuiltRoad,sideWalks,subrbanRoad,urbunSecondary
6842,0,0.109276662,0.953513333,0.009259259,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0.193548387,0,0.080645161,0.403225807,0.048387097,0.032258064,0.064516129,0.064516129,0,0,0,0.112903226,0,0,0.549489443,0,0,0,0.450510557,0,0
12944,0.009333344,0.688116241,0.336811111,0.092592593,0.272742279,0.242170888,0.174272198,0.090840876,0.152492846,0.3,0,0.1,0,0,0,0.2,0.1,0,0,0,0.3,0,0,0,0,0,0,0,0,0
16154,0.577918028,0.626489168,0.158747778,0.092592593,0.2360515,0.223711758,0.145271099,0.076143264,0.094586989,0,0,0.666666666,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0.335129021,0,0.664870979,0,0
12194,0,0.686940104,0.21883,0.018518519,0.135099653,0.173260363,0.002780427,0.078534114,0.052504267,0.090909091,0.03030303,0.060606061,0.090909091,0.090909091,0.03030303,0.242424242,0.090909091,0.121212121,0,0,0.212121212,0,0,0,0,0,0,0,0,0
16151,0.031027526,0.473328727,0,0.092592593,0.235959618,0.223673996,0.145182036,0.076187088,0.094409159,0,0,0,0,0,0,0,0,0,0,0,0,0.719942218,0,0,0.141344128,0,0,0.138713654,0,0
11831,0,0.043204878,0.049632,0,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8264,0.006847674,0.588979228,0,0.046296296,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.213056235,0.475507496,0,0,0,0.311436269
3631,0.001442394,0.616140714,0.063632857,0.202380952,0.281571909,0.239346078,0.160878151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10049,0.046832134,0.488537042,0,0.12037037,0.135822891,0.173557603,0.003495458,0.078428248,0.053527735,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12935,3.18465E-05,0.32273735,0.088183333,0.092592593,0.224988763,0.21883403,0.123411711,0.063686834,0.035003387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
